categoria,nombre_apertura,url
Aperturas más analizadas (Openings most analyzed),Traxler counter-attack,https://ficgs.com/wikichess_611.html
Aperturas más analizadas (Openings most analyzed),Latvian gambit,https://ficgs.com/wikichess_685.html
Aperturas más analizadas (Openings most analyzed),Kingston defense,https://ficgs.com/wikichess_3670.html
Primeros movimientos en el árbol principal (First Moves),e4 !,https://ficgs.com/wikichess_1.html
Primeros movimientos en el árbol principal (First Moves),d4,https://ficgs.com/wikichess_2.html
Primeros movimientos en el árbol principal (First Moves),Nf3,https://ficgs.com/wikichess_4.html
Primeros movimientos en el árbol principal (First Moves),c4,https://ficgs.com/wikichess_29.html
Primeros movimientos en el árbol principal (First Moves),f4,https://ficgs.com/wikichess_30.html
Primeros movimientos en el árbol principal (First Moves),g3,https://ficgs.com/wikichess_47.html
Primeros movimientos en el árbol principal (First Moves),h4,https://ficgs.com/wikichess_1790.html
Primeros movimientos en el árbol principal (First Moves),b3,https://ficgs.com/wikichess_1857.html
Primeros movimientos en el árbol principal (First Moves),a3 ?,https://ficgs.com/wikichess_2113.html
Primeros movimientos en el árbol principal (First Moves),e3,https://ficgs.com/wikichess_4959.html
Primeros movimientos en el árbol principal (First Moves),Nc3,https://ficgs.com/wikichess_2886.html
Primeros movimientos en el árbol principal (First Moves),Na3,https://ficgs.com/wikichess_3926.html
Primeros movimientos en el árbol principal (First Moves),g4 ?,https://ficgs.com/wikichess_1162.html
Primeros movimientos en el árbol principal (First Moves),Nh3,https://ficgs.com/wikichess_6791.html
Primeros movimientos en el árbol principal (First Moves),h3,https://ficgs.com/wikichess_6938.html
Primeros movimientos en el árbol principal (First Moves),a4 ?,https://ficgs.com/wikichess_7241.html
Primeros movimientos en el árbol principal (First Moves),c3,https://ficgs.com/wikichess_7242.html
Primeros movimientos en el árbol principal (First Moves),f3 ?,https://ficgs.com/wikichess_3922.html
Primeros movimientos en el árbol principal (First Moves),d3,https://ficgs.com/wikichess_5071.html
Primeros movimientos en el árbol principal (First Moves),b4,https://ficgs.com/wikichess_1694.html
Partidas históricas / Líneas famosas destacadas (Last famous games),Grischuk - Anand (Linares 2009),https://ficgs.com/wikichess_8193.html
Partidas históricas / Líneas famosas destacadas (Last famous games),A. Anderssen - J. Dufresne (Evergreen 1852),https://ficgs.com/wikichess_3652.html
Partidas históricas / Líneas famosas destacadas (Last famous games),"A. Anderssen - L. Kieseritzky (Immortal game, 1851)",https://ficgs.com/wikichess_2748.html
