categoria,nombre_apertura,url
Défense sicilienne,Gambit de l'aile,https://fr.wikipedia.org/wiki/Gambit_de_l%27aile
Défense sicilienne,Variante Alapine,https://fr.wikipedia.org/wiki/Variante_Alapine
Défense sicilienne,Attaque anglaise,https://fr.wikipedia.org/wiki/Attaque_anglaise
Défense sicilienne,Variante cobra classique,https://fr.wikipedia.org/wiki/Variante_cobra_classique
Défense sicilienne,Variante du dragon accéléré,https://fr.wikipedia.org/wiki/Variante_du_dragon_acc%C3%A9l%C3%A9r%C3%A9
Défense sicilienne,Variante du dragon,https://fr.wikipedia.org/wiki/Variante_du_dragon
Défense sicilienne,Sicilienne fermée,https://fr.wikipedia.org/wiki/Sicilienne_ferm%C3%A9e
Défense sicilienne,Attaque grand prix,https://fr.wikipedia.org/wiki/Attaque_grand_prix
Défense sicilienne,Sicilienne Kalashnikov,https://fr.wikipedia.org/wiki/Sicilienne_Kalashnikov
Défense sicilienne,Sicilienne Kan,https://fr.wikipedia.org/wiki/Sicilienne_Kan
Défense sicilienne,Système Kopec,https://fr.wikipedia.org/wiki/Syst%C3%A8me_Kopec
Défense sicilienne,Variante La Bourdonnais,https://fr.wikipedia.org/wiki/Variante_La_Bourdonnais
Défense sicilienne,Système Maróczy,https://fr.wikipedia.org/wiki/Syst%C3%A8me_Mar%C3%B3czy
Défense sicilienne,Gambit Morra,https://fr.wikipedia.org/wiki/Gambit_Morra
Défense sicilienne,Variante de Moscou,https://fr.wikipedia.org/wiki/Variante_de_Moscou
Défense sicilienne,Variante Najdorf,https://fr.wikipedia.org/wiki/Variante_Najdorf
Défense sicilienne,Sicilienne Paulsen,https://fr.wikipedia.org/wiki/Sicilienne_Paulsen
Défense sicilienne,Variante du pion empoisonné,https://fr.wikipedia.org/wiki/Variante_du_pion_empoisonn%C3%A9
Défense sicilienne,Variante Polougaïevski,https://fr.wikipedia.org/wiki/Variante_Polouga%C3%AFevski
Défense sicilienne,Sicilienne des quatre cavaliers,https://fr.wikipedia.org/wiki/Sicilienne_des_quatre_cavaliers
Défense sicilienne,Attaque Richter-Rauzer,https://fr.wikipedia.org/wiki/Attaque_Richter-Rauzer
Défense sicilienne,Attaque Rossolimo,https://fr.wikipedia.org/wiki/Attaque_Rossolimo
Défense sicilienne,Variante de Scheveningue,https://fr.wikipedia.org/wiki/Variante_de_Scheveningue
